ID,N_VICTIMAS,FECHA,HORA,HH,TIPO_DE_CALLE,Calle,LUGAR_DEL_HECHO_NORMALIZADO,COMUNA,longitud,Latitud,VICTIMA,ACUSADO,SEXO,EDAD,ROL_VICTIMA
20200065,1,2020-12-05,16:00:00,16,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & GOYENECHE, ROBERTO PARQUE AV.",12,-58.49332664,-34.54836855,MOTO,AUTO,MASCULINO,24,CONDUCTOR
20200066,1,2020-12-07,04:30:00,4,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO ALTURA ESTACION DE TREN VILLA LURO,10,-58.50178784,-34.63593897,MOTO,OBJETO FIJO,MASCULINO,27,CONDUCTOR
20200067,1,2020-12-11,22:00:00,22,AVENIDA,SAENZ AV.,SAENZ AV. & BEAZLEY,4,-58.41657793,-34.65476216,PEATON,PASAJEROS,MASCULINO,51,PEATON
20200068,1,2020-12-12,20:30:00,20,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. & AUSTRIA,2,-58.39731474,-34.58307887,MOTO,AUTO,MASCULINO,71,CONDUCTOR
20200069,1,2020-12-15,05:20:00,5,AVENIDA,INDEPENDENCIA AV.,"INDEPENDENCIA AV. & SAENZ PEÑA, LUIS, PRES.",1,-58.38746381,-34.61790839,MOTO,PASAJEROS,MASCULINO,25,PASAJERO
20200070,1,2020-12-17,15:35:00,15,AVENIDA,CALLAO AV.,"CALLAO AV. & LAS HERAS, GENERAL",2,-58.39189441,-34.59176378,PEATON,PASAJEROS,FEMENINO,81,PEATON
20200071,1,2020-12-17,23:00:00,23,AVENIDA,SAN PEDRITO AV.,SAN PEDRITO AV. & DIRECTORIO AV.,7,-58.46749188,-34.63551751,PEATON,AUTO,MASCULINO,4,PEATON
20200072,1,2020-12-19,03:30:00,3,AVENIDA,JUJUY AV.,"JUJUY AV. & CARLOS, CALVO",3,-58.40280471,-34.62113271,BICICLETA,AUTO,MASCULINO,42,CICLISTA
20200073,1,2020-12-20,07:40:00,7,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. & ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,MASCULINO,56,CONDUCTOR
20200074,1,2020-12-20,21:00:00,21,AVENIDA,BOGOTA,BOGOTA & NAZCA AV.,7,-58.47110424,-34.62742408,AUTO,AUTO,MASCULINO,39,CONDUCTOR
20200075,1,2020-12-23,14:00:00,14,AVENIDA,CORRIENTES AV.,CORRIENTES AV. & 9 DE JULIO AV.,1,-58.38220928,-34.60373898,PEATON,PASAJEROS,MASCULINO,23,PEATON
20200076,1,2020-12-24,12:30:00,12,AVENIDA,ALVAREZ JONTE AV.,ALVAREZ JONTE AV. & CHIVILCOY,10,-58.49794468,-34.61565025,AUTO,PASAJEROS,FEMENINO,78,CONDUCTOR
